Date,Clov Price,BB Price,AMC Price,GME Price,count_title,average_title,count_body,average_body
2021-04-27,9.24,9.29,11.46,177.77,112,0.16369910714285700,34,0.7064058823529410
2021-04-28,10.5,9.3,10.85,178.58,84,0.13896071428571400,31,0.6580161290322580
2021-04-29,10.17,9.06,10.2,176.19,93,0.15744408602150500,33,0.6517121212121210
2021-04-30,9.85,8.83,10.03,173.59,48,0.09811875,17,0.8684647058823530
2021-05-05,8.84,8.22,9.17,159.48,42,0.1619142857142860,11,0.8619727272727270
2021-05-06,8.23,8.15,9.0,161.01,161,0.07143664596273290,58,0.5977258620689660
2021-05-07,8.62,8.48,9.51,161.11,180,0.04026388888888890,71,0.5584211267605640
2021-05-10,8.26,8.13,9.74,143.22,61,0.07995573770491800,29,0.5679310344827590
2021-05-11,8.13,8.3,10.05,146.92,119,0.10046806722689100,43,0.5657790697674420
2021-05-12,7.78,7.95,10.32,144.79,92,0.09295869565217390,43,0.5201232558139540
2021-05-13,7.26,7.94,12.77,164.5,104,0.10573365384615400,48,0.32164791666666700
2021-05-14,7.47,8.44,12.98,159.92,114,0.09837017543859650,45,0.5723177777777780
2021-05-17,6.82,8.49,13.95,180.6,28,-0.0008821428571428540,12,0.6372416666666670
2021-05-18,6.97,8.77,14.03,180.67,73,0.09703561643835620,29,0.7802758620689650
2021-05-19,6.84,8.54,12.64,168.83,49,0.14771020408163300,22,0.38352272727272700
2021-05-20,7.13,8.78,12.55,170.49,71,0.047952112676056300,34,0.5510617647058820
2021-05-21,6.93,8.52,12.08,176.79,77,0.08464545454545450,33,0.6548333333333330
2021-05-24,6.92,8.62,13.68,180.01,39,0.007764102564102570,23,0.6044739130434780
2021-05-25,7.02,8.59,16.41,209.43,89,0.10360224719101100,32,0.5823093750000000
2021-05-26,7.33,9.44,19.56,242.56,91,0.07053076923076920,29,0.3796586206896550
2021-05-27,7.83,9.97,26.52,254.13,130,0.15355384615384600,39,0.6656282051282050
2021-05-28,7.64,10.07,26.12,222.0,171,0.1410204678362570,39,0.6920307692307690
2021-06-01,7.73,11.56,32.04,249.02,34,0.08844705882352940,16,0.63433125
2021-06-10,14.34,13.89,42.81,220.39,210,0.15381428571428600,82,0.5743548780487810
2021-06-11,15.03,14.18,49.4,233.34,367,0.15210899182561300,124,0.6061508064516130
2021-06-15,13.77,13.99,59.04,222.5,92,0.1883076086956520,42,0.7620666666666670
2021-06-16,12.95,12.88,55.18,222.97,194,0.16219123711340200,79,0.7196620253164560
2021-06-17,12.56,13.51,60.73,223.59,169,0.1512585798816570,80,0.647275
2021-06-18,12.04,12.9,59.26,213.82,172,0.18471569767441900,73,0.7181000000000000
2021-06-21,11.24,12.8,55.69,200.37,60,0.051846666666666700,33,0.5472242424242430
2021-06-22,12.63,13.41,58.27,220.4,150,0.13406666666666700,75,0.72848
2021-06-23,13.83,13.14,58.3,219.34,178,0.1555129213483150,79,0.6216797468354430
2021-06-24,13.79,12.68,56.7,212.31,165,0.1835357575757580,80,0.5798675
2021-06-25,12.97,12.12,54.06,209.51,134,0.16099104477611900,71,0.6189647887323950
2021-06-28,12.8,12.8,58.11,213.25,5,0.3202,4,0.993075
2021-06-29,13.36,12.24,56.43,210.88,222,0.15466126126126100,93,0.6471204301075270
2021-06-30,13.32,12.22,56.68,214.14,50,0.09032,25,0.5515240000000000
2021-07-01,12.33,12.17,54.22,204.36,150,0.13714600000000000,55,0.5738181818181820
2021-07-02,11.71,11.99,51.96,202.83,106,0.1371122641509430,48,0.7271354166666670
2021-07-06,10.0,12.07,49.96,199.56,88,0.0888375,40,0.55297
2021-07-07,9.72,11.44,45.07,190.66,31,0.17752903225806500,17,0.7315705882352940
2021-07-08,9.36,11.55,47.94,191.38,92,0.0952032608695652,40,0.462905
2021-07-09,9.27,11.79,46.19,191.23,76,0.10256842105263200,27,0.5255592592592590
2021-07-12,9.68,11.25,42.61,189.25,34,0.12448235294117600,22,0.5477409090909090
2021-07-13,8.91,11.08,39.35,180.06,76,0.12353815789473700,33,0.6007212121212120
2021-07-14,8.68,10.66,33.43,167.62,75,0.07632933333333340,38,0.6488868421052630
2021-07-15,8.26,10.57,36.0,166.82,120,0.042490000000000000,55,0.3246945454545460
2021-07-16,8.2,10.11,34.96,169.04,83,0.07129638554216870,43,0.6110651162790700
2021-07-19,8.3,9.88,34.62,173.49,39,0.07584102564102560,20,0.5948400000000000
2021-07-20,8.35,10.62,43.09,191.18,63,0.10603492063492100,29,0.3740793103448280
2021-08-02,8.15,10.1,35.2,157.65,25,0.047972,12,0.41254166666666700
2021-08-03,8.12,10.17,33.59,152.75,55,0.11064545454545500,28,0.675375
2021-08-04,7.92,9.87,29.84,146.8,100,0.12442100000000000,33,0.5782848484848480
2021-08-05,8.13,10.43,33.51,153.44,95,0.11969052631578900,43,0.6117883720930230
2021-08-06,8.07,10.29,32.7,151.77,84,0.13047142857142900,38,0.6644131578947370
2021-08-09,8.81,10.41,33.8,161.13,64,0.025940625000000000,28,0.6058857142857140
2021-08-10,8.41,10.37,31.75,159.05,54,0.08554814814814820,18,0.5902277777777780
2021-08-11,8.13,10.32,31.55,158.78,91,0.13385384615384600,52,0.6350980769230770
2021-08-12,9.01,10.17,33.07,162.35,75,0.07415333333333330,35,0.7311885714285710
2021-08-13,8.22,9.88,33.47,162.52,64,0.069134375,31,0.6070483870967740
2021-08-16,8.49,9.67,35.69,163.93,11,0.08604545454545460,9,0.7446222222222220
