Date,Clov Price,BB Price,AMC Price,GME Price,count_title,negative_mean_title,positive_mean_title,neutral_mean_title,compound_mean_title,count_body,negative_mean_body,positive_mean_body,neutral_mean_body,compound_mean_body,count_gme_title,negative_mean_gme_title,positive_mean_gme_title,neutral_mean_gme_title,compound_mean_gme_title,count_gme_body,negative_mean_gme_body,positive_mean_gme_body,neutral_mean_gme_body,compound_mean_gme_body,count_amc_title,negative_mean_amc_title,positive_mean_amc_title,neutral_mean_amc_title,compound_mean_amc_title,count_amc_body,negative_mean_amc_body,positive_mean_amc_body,neutral_mean_amc_body,compound_mean_amc_body,count_bb_title,negative_mean_bb_title,positive_mean_bb_title,neutral_mean_bb_title,compound_mean_bb_title,count_bb_body,negative_mean_bb_body,positive_mean_bb_body,neutral_mean_bb_body,compound_mean_bb_body,count_clov_title,negative_mean_clov_title,positive_mean_clov_title,neutral_mean_clov_title,compound_mean_clov_title,count_clov_body,negative_mean_clov_body,positive_mean_clov_body,neutral_mean_clov_body,compound_mean_clov_body
2021-01-28,14.07,14.65,8.63,193.6,1192,0.08767869127516775,0.07879949664429535,0.8326887583892617,-0.0070508389261744984,684,0.08981871345029245,0.09550292397660827,0.8132119883040927,0.04907295321637433,276.0,0.08820289855072462,0.07100362318840582,0.8408079710144925,-0.02286847826086957,255.0,0.08358823529411771,0.08782745098039225,0.8285843137254899,0.037201568627451005,115.0,0.07120869565217393,0.05329565217391306,0.875486956521739,-0.031479999999999994,114.0,0.07931578947368419,0.08267543859649126,0.8380789473684215,0.0630166666666667,43.0,0.10332558139534882,0.08325581395348837,0.8133953488372093,-0.033865116279069775,63.0,0.08177777777777777,0.08380952380952382,0.8344761904761903,0.02421111111111111,1.0,0.0,0.0,1.0,0.0,,,,,
2021-01-29,13.95,14.1,13.26,325.0,15653,0.08656813390404391,0.0790898869226352,0.8337679678016952,-0.014411250239570654,9034,0.08956464467566977,0.09330839052468456,0.8163501217622329,0.005163759132167355,3105.0,0.07047793880837362,0.06293365539452488,0.8665822866344607,-0.011957101449275328,2507.0,0.08389908256880721,0.09357000398883114,0.8225197447147994,0.03953123254886316,1506.0,0.06176228419654716,0.05289243027888455,0.8853452855245679,-0.015634262948207123,1011.0,0.0780593471810089,0.08189614243323443,0.8400405539070221,4.955489614244326e-05,849.0,0.06011542991755009,0.06053710247349828,0.8793404004711427,-0.006017196702002336,623.0,0.08043659711075438,0.08723113964686996,0.8323130016051368,0.020259069020866792,,,,,,,,,,
2021-02-01,13.81,14.63,13.3,225.0,880,0.07446022727272726,0.10352727272727268,0.8220124999999995,0.037553068181818194,319,0.07527586206896551,0.1143416927899686,0.810363636363636,0.3798492163009405,236.0,0.07858050847457622,0.08863983050847461,0.8327754237288135,0.020081779661016957,215.0,0.07742325581395353,0.1123767441860465,0.8101860465116277,0.37838325581395343,48.0,0.06595833333333333,0.09304166666666668,0.8409791666666666,0.04923749999999997,48.0,0.07547916666666668,0.10985416666666667,0.8147708333333332,0.4127562500000001,23.0,0.023521739130434784,0.10278260869565216,0.8737391304347825,0.08695652173913042,34.0,0.07211764705882352,0.10750000000000004,0.8204411764705883,0.5082882352941178,,,,,,,,,,
2021-02-02,13.97,11.55,7.82,90.0,1488,0.0942190860215054,0.11368346774193545,0.7914247311827954,0.028819220430107543,351,0.08147863247863245,0.11116809116809112,0.8045071225071219,0.22008689458689465,323.0,0.06892879256965942,0.11057585139318893,0.8205015479876153,0.08583746130030956,219.0,0.08470319634703195,0.11150684931506843,0.8038219178082194,0.2055383561643835,80.0,0.07365000000000001,0.1011875,0.8250875000000001,0.01744875000000002,43.0,0.0728139534883721,0.11586046511627908,0.8113255813953488,0.4318627906976746,32.0,0.05653125,0.06434374999999999,0.87915625,0.03936875,23.0,0.07795652173913044,0.12482608695652175,0.7972173913043479,0.5062043478260871,,,,,,,,,,
2021-02-03,13.95,12.0,8.97,92.41,2626,0.08695773038842344,0.11362490479817215,0.7986595582635182,0.031519687738004565,675,0.08233629629629635,0.11452888888888885,0.8031274074074071,0.23204074074074074,572.0,0.07993181818181819,0.09432867132867133,0.8257412587412588,0.04057604895104897,350.0,0.08425714285714288,0.11258285714285718,0.8031771428571421,0.28373542857142864,170.0,0.07609999999999997,0.08065882352941177,0.8432588235294118,0.012134705882352942,92.0,0.07483695652173915,0.10460869565217397,0.8206086956521739,0.24835978260869554,38.0,0.07507894736842105,0.09905263157894738,0.8258684210526317,0.11527894736842105,27.0,0.06425925925925928,0.1195185185185185,0.8161481481481481,0.4658777777777779,1.0,0.0,0.0,1.0,0.0,2.0,0.0265,0.1105,0.8634999999999999,0.9857
2021-02-04,12.23,12.15,7.09,53.5,1665,0.07260120120120117,0.11074474474474484,0.8166564564564568,0.04977459459459453,858,0.08367832167832169,0.11580186480186475,0.8005198135198142,0.1897069930069929,341.0,0.053542521994134895,0.08916422287390031,0.8573108504398825,0.06263782991202352,368.0,0.08654619565217392,0.11197554347826084,0.801456521739131,0.18628858695652184,113.0,0.03882300884955752,0.10347787610619466,0.8577079646017701,0.1253973451327434,101.0,0.07412871287128713,0.1141188118811882,0.8117524752475247,0.17642376237623753,26.0,0.07430769230769231,0.07753846153846154,0.8481538461538463,0.028692307692307687,28.0,0.08153571428571428,0.08621428571428573,0.8321428571428573,0.10051428571428572,3.0,0.0,0.084,0.9159999999999999,0.13396666666666665,3.0,0.102,0.05766666666666667,0.8403333333333333,-0.3038333333333333
2021-02-05,12.93,13.23,6.83,63.77,2585,0.08358452611218567,0.10873462282398452,0.8072955512572519,0.030021315280464138,1659,0.09269077757685357,0.11485774562989755,0.7918613622664248,0.12758770343580475,599.0,0.06229549248747913,0.08612186978297164,0.8515876460767946,0.03259899833055094,632.0,0.08399683544303797,0.1123955696202532,0.8036297468354422,0.2054765822784812,156.0,0.054525641025641024,0.0877435897435897,0.8577179487179486,0.06340512820512821,184.0,0.08344565217391305,0.10434782608695654,0.812217391304348,0.13000869565217396,25.0,0.04904,0.09539999999999997,0.8556000000000001,0.06986399999999998,36.0,0.0927777777777778,0.12533333333333335,0.7818888888888887,0.1991083333333333,9.0,0.05533333333333333,0.022,0.9226666666666667,-0.07273333333333334,5.0,0.1338,0.073,0.7931999999999999,-0.2115
2021-02-08,12.37,13.76,6.18,60.0,284,0.062028169014084526,0.1231901408450704,0.814781690140845,0.09952711267605638,127,0.07056692913385827,0.12231496062992132,0.8070472440944881,0.34665433070866153,58.0,0.0784655172413793,0.11451724137931035,0.8070172413793103,0.055862068965517236,62.0,0.08738709677419353,0.10596774193548386,0.8065967741935484,0.14857096774193546,21.0,0.07285714285714284,0.11976190476190475,0.8073333333333333,0.04824761904761904,24.0,0.07575,0.10020833333333334,0.8240416666666669,0.31840416666666665,1.0,0.0,0.535,0.465,0.3182,8.0,0.07837499999999999,0.1045,0.8172499999999999,0.35805000000000003,1.0,0.0,0.0,1.0,0.0,1.0,0.096,0.11699999999999999,0.787,0.2732
2021-02-09,13.16,13.43,5.5,50.31,148,0.06027702702702701,0.11531081081081082,0.8244189189189193,0.08522500000000001,110,0.07600909090909096,0.12095454545454552,0.8030272727272726,0.4156490909090911,32.0,0.06896875,0.11103125,0.8200624999999998,0.08848125000000003,44.0,0.08913636363636362,0.10586363636363633,0.8049772727272728,0.3557636363636363,9.0,0.08900000000000001,0.07211111111111111,0.8388888888888889,0.08112222222222222,13.0,0.09307692307692307,0.0906923076923077,0.8160000000000001,0.29996153846153845,3.0,0.0,0.057333333333333326,0.9426666666666668,0.1204,3.0,0.035,0.11066666666666668,0.8543333333333334,0.9399333333333332,,,,,,,,,,
2021-02-10,12.5,13.1,5.8,51.2,222,0.0626036036036036,0.08002252252252252,0.8573738738738736,0.018625225225225236,164,0.07373780487804882,0.12291463414634145,0.8033048780487803,0.4051091463414634,45.0,0.12377777777777775,0.05386666666666667,0.8223333333333334,-0.09572222222222222,71.0,0.08111267605633803,0.11560563380281692,0.8031830985915491,0.3927845070422535,7.0,0.05442857142857143,0.08371428571428571,0.8618571428571429,0.021457142857142862,19.0,0.07926315789473683,0.1193684210526316,0.8013684210526316,0.3069894736842105,6.0,0.11416666666666668,0.03616666666666666,0.8496666666666667,-0.1588,7.0,0.062285714285714285,0.1107142857142857,0.8270000000000001,0.4321142857142858,,,,,,1.0,0.015,0.20600000000000002,0.779,0.9987
